causa,mujer,edad,anio,casos
cavidad oral y faringe,0,0,1998,0.11170946393766149
cavidad oral y faringe,0,0,1999,0.0887706891484202
cavidad oral y faringe,0,0,2000,0.06688367266898557
cavidad oral y faringe,0,0,2001,0.04604841449935757
cavidad oral y faringe,0,0,2002,0.029774204652300816
cavidad oral y faringe,0,0,2003,0.008539690317934254
cavidad oral y faringe,0,0,2004,0
cavidad oral y faringe,0,0,2005,0
cavidad oral y faringe,0,0,2006,0
cavidad oral y faringe,0,0,2007,0
cavidad oral y faringe,0,0,2008,0
cavidad oral y faringe,0,0,2009,0
cavidad oral y faringe,0,0,2010,0
cavidad oral y faringe,0,0,2011,0
cavidad oral y faringe,0,0,2012,0
cavidad oral y faringe,0,0,2013,0
cavidad oral y faringe,0,0,2014,0
cavidad oral y faringe,0,0,2015,0
cavidad oral y faringe,0,0,2016,0
cavidad oral y faringe,0,0,2017,0.02569892606167154
cavidad oral y faringe,0,0,2018,0.05926390778388381
cavidad oral y faringe,0,0,2019,0.08098418406624779
cavidad oral y faringe,0,0,2020,0.09154893907123753
cavidad oral y faringe,0,0,2021,0.10127720058764869
cavidad oral y faringe,0,0,2022,0.0916900764532721
cavidad oral y faringe,0,1,1998,0.1261086438090814
cavidad oral y faringe,0,1,1999,0.10546658773473351
cavidad oral y faringe,0,1,2000,0.08587628997019225
cavidad oral y faringe,0,1,2001,0.0673377505154576
cavidad oral y faringe,0,1,2002,0.056511623377578916
cavidad oral y faringe,0,1,2003,0.03788069538584866
cavidad oral y faringe,0,1,2004,0.020442052523947155
cavidad oral y faringe,0,1,2005,0.0058185764507080445
cavidad oral y faringe,0,1,2006,0
cavidad oral y faringe,0,1,2007,0
cavidad oral y faringe,0,1,2008,0
cavidad oral y faringe,0,1,2009,0
cavidad oral y faringe,0,1,2010,0
cavidad oral y faringe,0,1,2011,0
cavidad oral y faringe,0,1,2012,0
cavidad oral y faringe,0,1,2013,0
cavidad oral y faringe,0,1,2014,0
cavidad oral y faringe,0,1,2015,0
cavidad oral y faringe,0,1,2016,0
cavidad oral y faringe,0,1,2017,0.031566560422396646
cavidad oral y faringe,0,1,2018,0.06410888444907605
cavidad oral y faringe,0,1,2019,0.08515219014426235
cavidad oral y faringe,0,1,2020,0.09561611974265584
cavidad oral y faringe,0,1,2021,0.105344381259067
cavidad oral y faringe,0,1,2022,0.09504955174073162
cavidad oral y faringe,0,2,1998,0.13265329760523875
cavidad oral y faringe,0,2,1999,0.11430796024578424
cavidad oral y faringe,0,2,2000,0.09701438119613635
cavidad oral y faringe,0,2,2001,0.0807725604562951
cavidad oral y faringe,0,2,2002,0.07434506240137075
cavidad oral y faringe,0,2,2003,0.05831772075227677
cavidad oral y faringe,0,2,2004,0.04348266423301157
cavidad oral y faringe,0,2,2005,0.0300938021503762
cavidad oral y faringe,0,2,2006,0.017943468636198064
cavidad oral y faringe,0,2,2007,0
cavidad oral y faringe,0,2,2008,0
cavidad oral y faringe,0,2,2009,0
cavidad oral y faringe,0,2,2010,0
cavidad oral y faringe,0,2,2011,0
cavidad oral y faringe,0,2,2012,0
cavidad oral y faringe,0,2,2013,0
cavidad oral y faringe,0,2,2014,0
cavidad oral y faringe,0,2,2015,0
cavidad oral y faringe,0,2,2016,0
cavidad oral y faringe,0,2,2017,0.03743419478312176
cavidad oral y faringe,0,2,2018,0.06895386111426828
cavidad oral y faringe,0,2,2019,0.08932019622227691
cavidad oral y faringe,0,2,2020,0.09968330041407415
cavidad oral y faringe,0,2,2021,0.10941156193048532
cavidad oral y faringe,0,2,2022,0.09840902702819118
cavidad oral y faringe,0,3,1998,0.1398339830554618
cavidad oral y faringe,0,3,1999,0.12152184635807381
cavidad oral y faringe,0,3,2000,0.10460973590377104
cavidad oral y faringe,0,3,2001,0.08909765169255349
cavidad oral y faringe,0,3,2002,0.08500451816296577
