causa2,año,mujer,edad,muertes_suavizadas
cuello de útero,1952,0,0,0.0012103933026566074
cuello de útero,1952,0,1,0.0011456609401691163
cuello de útero,1952,0,2,0.0010851275132781422
cuello de útero,1952,0,3,0.0010292603063398083
cuello de útero,1952,0,4,9.779970002656447e-4
cuello de útero,1952,0,5,9.315217590033539e-4
cuello de útero,1952,0,6,8.895709035819097e-4
cuello de útero,1952,0,7,8.520817947136109e-4
cuello de útero,1952,0,8,8.187212521390383e-4
cuello de útero,1952,0,9,7.892813754946516e-4
cuello de útero,1952,0,10,7.634367499633086e-4
cuello de útero,1952,0,11,7.40900932113635e-4
cuello de útero,1952,0,12,7.214030226079134e-4
cuello de útero,1952,0,13,7.046542519463625e-4
cuello de útero,1952,0,14,6.904419181397094e-4
cuello de útero,1952,0,15,6.784875931625189e-4
cuello de útero,1952,0,16,6.686297152497622e-4
cuello de útero,1952,0,17,6.606080181950445e-4
cuello de útero,1952,0,18,6.543023706911451e-4
cuello de útero,1952,0,19,6.494784880046096e-4
cuello de útero,1952,0,20,6.460452667714667e-4
cuello de útero,1952,0,21,6.437846226401353e-4
cuello de útero,1952,0,22,6.426238329392119e-4
cuello de útero,1952,0,23,6.423600158132836e-4
cuello de útero,1952,0,24,6.429305058031872e-4
cuello de útero,1952,0,25,6.44141861954454e-4
cuello de útero,1952,0,26,6.459341567696592e-4
cuello de útero,1952,0,27,6.481162270152024e-4
cuello de útero,1952,0,28,6.506248988727929e-4
cuello de útero,1952,0,29,6.532665299051308e-4
cuello de útero,1952,0,30,6.559704727699264e-4
cuello de útero,1952,0,31,6.585377642440182e-4
cuello de útero,1952,0,32,6.608875477864841e-4
cuello de útero,1952,0,33,6.628112370755299e-4
cuello de útero,1952,0,34,6.642157510251586e-4
cuello de útero,1952,0,35,6.64886166569081e-4
cuello de útero,1952,0,36,6.64719059159304e-4
cuello de útero,1952,0,37,6.635001722849847e-4
cuello de útero,1952,0,38,6.611207229273799e-4
cuello de útero,1952,0,39,6.573781407907086e-4
cuello de útero,1952,0,40,6.521667405629643e-4
cuello de útero,1952,0,41,6.453151046072248e-4
cuello de útero,1952,0,42,6.367352722116643e-4
cuello de útero,1952,0,43,6.263130608811637e-4
cuello de útero,1952,0,44,6.139987722876086e-4
cuello de útero,1952,0,45,5.997523162215141e-4
cuello de útero,1952,0,46,5.835773266164234e-4
cuello de útero,1952,0,47,5.655354568553086e-4
cuello de útero,1952,0,48,5.457100859005645e-4
cuello de útero,1952,0,49,5.242618391527766e-4
cuello de útero,1952,0,50,5.013573831526019e-4
cuello de útero,1952,0,51,4.772439384199893e-4
cuello de útero,1952,0,52,4.5216800465930536e-4
cuello de útero,1952,0,53,4.2643787606917597e-4
cuello de útero,1952,0,54,4.003678500157029e-4
cuello de útero,1952,0,55,3.7426808304055694e-4
cuello de útero,1952,0,56,3.484697093646369e-4
cuello de útero,1952,0,57,3.232484656615573e-4
cuello de útero,1952,0,58,2.9893564031754883e-4
cuello de útero,1952,0,59,2.757212647176584e-4
cuello de útero,1952,0,60,2.5389124677958636e-4
cuello de útero,1952,0,61,2.3353098587582512e-4
cuello de útero,1952,0,62,2.1487139961044396e-4
cuello de útero,1952,0,63,0.00019789844957628214
cuello de útero,1952,0,64,1.8280074964985423e-4
cuello de útero,1952,0,65,0.00016948374711808826
cuello de útero,1952,0,66,1.5810554218463878e-4
cuello de útero,1952,0,67,1.4853715054153818e-4
cuello de útero,1952,0,68,1.409622731609342e-4
cuello de útero,1952,0,69,1.352724241131402e-4
cuello de útero,1952,0,70,1.3173796869950526e-4
cuello de útero,1952,0,71,1.303548493905675e-4
cuello de útero,1952,0,72,1.3159909034072208e-4
cuello de útero,1952,0,73,1.357298282558857e-4
cuello de útero,1952,0,74,1.4369192061317076e-4
cuello de útero,1952,0,75,1.5638298771415156e-4
cuello de útero,1952,0,76,1.7587739534639701e-4
cuello de útero,1952,0,77,2.0475907553775313e-4
cuello de útero,1952,0,78,2.481456831585978e-4
cuello de útero,1952,0,79,3.136455470901336e-4
cuello de útero,1952,0,80,4.159398929596702e-4
cuello de útero,1952,0,81,5.799956486577402e-4
cuello de útero,1952,0,82,8.555060524483994e-4
cuello de útero,1952,0,83,0.0013379487868999634
cuello de útero,1952,0,84,0.0022307641198896708
cuello de útero,1952,0,85,0.00397433584573521
cuello de útero,1952,0,86,0.007594184670885809
cuello de útero,1952,0,87,0.015587637584726657
cuello de útero,1952,0,88,0.034204880073797836
cuello de útero,1952,0,89,0.08000503120901101
cuello de útero,1952,1,0,9.086659958863736e-4
cuello de útero,1952,1,1,0.001041544809743479
cuello de útero,1952,1,2,0.0011952127460833975
cuello de útero,1952,1,3,0.0013749445030381685
cuello de útero,1952,1,4,0.0015871950426960047
cuello de útero,1952,1,5,0.0018420272065429143
cuello de útero,1952,1,6,0.002151434309066038
cuello de útero,1952,1,7,0.002534343039556232
cuello de útero,1952,1,8,0.00301367676060798
cuello de útero,1952,1,9,0.0036250943118793493
cuello de útero,1952,1,10,0.004414087843721398
cuello de útero,1952,1,11,0.005450373453735006
cuello de útero,1952,1,12,0.00682669408888266
cuello de útero,1952,1,13,0.008679250562384064
cuello de útero,1952,1,14,0.011197221257421503
cuello de útero,1952,1,15,0.014638738553978617
cuello de útero,1952,1,16,0.019367602210649384
cuello de útero,1952,1,17,0.025792305029138235
cuello de útero,1952,1,18,0.03446272261414568
cuello de útero,1952,1,19,0.045593833302563926
cuello de útero,1952,1,20,0.05941861895352818
cuello de útero,1952,1,21,0.0747913611734072
cuello de útero,1952,1,22,0.09069216195341807
cuello de útero,1952,1,23,0.10646596160030074
cuello de útero,1952,1,24,0.12177578387478329
cuello de útero,1952,1,25,0.14210463405008308
cuello de útero,1952,1,26,0.17161151122406315
cuello de útero,1952,1,27,0.2230567396068969
cuello de útero,1952,1,28,0.31431808199649663
cuello de útero,1952,1,29,0.46253206590743445
cuello de útero,1952,1,30,0.6976642535823362
cuello de útero,1952,1,31,0.9604272062574745
cuello de útero,1952,1,32,1.1579373484929
cuello de útero,1952,1,33,1.1934536007632037
cuello de útero,1952,1,34,1.0455868399218105
cuello de útero,1952,1,35,0.8673161125223163
cuello de útero,1952,1,36,0.7167980168752379
cuello de útero,1952,1,37,0.6428813917292627
cuello de útero,1952,1,38,0.6539787170534854
cuello de útero,1952,1,39,0.7454988127080688
cuello de útero,1952,1,40,0.9449273989978849
cuello de útero,1952,1,41,1.242858561311419
cuello de útero,1952,1,42,1.6176094725665124
cuello de útero,1952,1,43,2.0071167965806733
cuello de útero,1952,1,44,2.3050056346228196
cuello de útero,1952,1,45,2.4826241713574926
cuello de útero,1952,1,46,2.538596491628724
cuello de útero,1952,1,47,2.510218324570598
cuello de útero,1952,1,48,2.4485644772113346
cuello de útero,1952,1,49,2.359210390900711
cuello de útero,1952,1,50,2.249024208453934
cuello de útero,1952,1,51,2.1140158748644575
cuello de útero,1952,1,52,1.9495811590438834
cuello de útero,1952,1,53,1.7755302661925896
cuello de útero,1952,1,54,1.6145632400749572
cuello de útero,1952,1,55,1.4848057714588052
cuello de útero,1952,1,56,1.414854447725314
cuello de útero,1952,1,57,1.404331731368233
cuello de útero,1952,1,58,1.46694349728265
cuello de útero,1952,1,59,1.6037584008151087
cuello de útero,1952,1,60,1.8078403805515324
cuello de útero,1952,1,61,2.079518939587033
cuello de útero,1952,1,62,2.3734701118549224
cuello de útero,1952,1,63,2.6675656281750104
cuello de útero,1952,1,64,2.8954754270384284
cuello de útero,1952,1,65,3.0248022582390024
cuello de útero,1952,1,66,3.019102396135801
cuello de útero,1952,1,67,2.878905375900772
cuello de útero,1952,1,68,2.630059438674969
cuello de útero,1952,1,69,2.307776477999973
cuello de útero,1952,1,70,1.9670827710591703
cuello de útero,1952,1,71,1.6356467156698635
cuello de útero,1952,1,72,1.3478843936155083
cuello de útero,1952,1,73,1.1063424488469344
cuello de útero,1952,1,74,0.9198518801958473
cuello de útero,1952,1,75,0.7785486038632025
cuello de útero,1952,1,76,0.6802751288022485
cuello de útero,1952,1,77,0.6155560817040118
cuello de útero,1952,1,78,0.5764779419075394
cuello de útero,1952,1,79,0.5580604310883427
