age,period,cohort,sex,inst,y_eff,neff
15,2000,1985,M,30d,34,62
15,2000,1985,F,30d,27,51
16,2000,1984,M,30d,11,30
16,2000,1984,F,30d,13,22
15,2001,1986,M,30d,4,20
15,2001,1986,F,30d,2,13
16,2001,1985,M,30d,4,17
16,2001,1985,F,30d,5,22
17,2001,1984,M,30d,11,25
17,2001,1984,F,30d,4,13
18,2001,1983,M,30d,8,22
18,2001,1983,F,30d,3,20
19,2001,1982,M,30d,8,21
19,2001,1982,F,30d,2,17
20,2001,1981,M,30d,10,20
20,2001,1981,F,30d,5,18
21,2001,1980,M,30d,7,19
21,2001,1980,F,30d,3,17
22,2001,1979,M,30d,15,27
22,2001,1979,F,30d,9,15
23,2001,1978,M,30d,11,29
23,2001,1978,F,30d,10,24
24,2001,1977,M,30d,11,25
24,2001,1977,F,30d,6,19
25,2001,1976,M,30d,11,25
25,2001,1976,F,30d,5,13
26,2001,1975,M,30d,7,24
26,2001,1975,F,30d,9,28
27,2001,1974,M,30d,7,20
27,2001,1974,F,30d,6,14
28,2001,1973,M,30d,17,30
28,2001,1973,F,30d,6,23
29,2001,1972,M,30d,15,33
29,2001,1972,F,30d,11,19
30,2001,1971,M,30d,10,31
30,2001,1971,F,30d,9,29
31,2001,1970,M,30d,9,23
31,2001,1970,F,30d,5,20
32,2001,1969,M,30d,14,28
32,2001,1969,F,30d,4,23
33,2001,1968,M,30d,11,26
33,2001,1968,F,30d,6,19
34,2001,1967,M,30d,7,20
34,2001,1967,F,30d,9,20
35,2001,1966,M,30d,10,26
35,2001,1966,F,30d,8,14
36,2001,1965,M,30d,10,24
36,2001,1965,F,30d,3,18
37,2001,1964,M,30d,9,16
37,2001,1964,F,30d,4,14
38,2001,1963,M,30d,14,29
38,2001,1963,F,30d,6,28
39,2001,1962,M,30d,9,22
39,2001,1962,F,30d,8,28
40,2001,1961,M,30d,8,22
40,2001,1961,F,30d,13,23
41,2001,1960,M,30d,15,27
41,2001,1960,F,30d,11,23
42,2001,1959,M,30d,11,18
42,2001,1959,F,30d,5,18
43,2001,1958,M,30d,14,26
43,2001,1958,F,30d,4,19
44,2001,1957,M,30d,6,12
44,2001,1957,F,30d,10,27
45,2001,1956,M,30d,6,12
45,2001,1956,F,30d,10,26
46,2001,1955,M,30d,6,18
46,2001,1955,F,30d,10,22
47,2001,1954,M,30d,6,14
47,2001,1954,F,30d,3,14
48,2001,1953,M,30d,5,17
48,2001,1953,F,30d,6,17
49,2001,1952,M,30d,8,14
49,2001,1952,F,30d,8,21
50,2001,1951,M,30d,12,22
50,2001,1951,F,30d,5,24
51,2001,1950,M,30d,6,15
51,2001,1950,F,30d,3,11
52,2001,1949,M,30d,7,19
52,2001,1949,F,30d,9,23
53,2001,1948,M,30d,7,17
53,2001,1948,F,30d,6,21
54,2001,1947,M,30d,10,22
54,2001,1947,F,30d,4,19
55,2001,1946,M,30d,5,19
55,2001,1946,F,30d,4,24
56,2001,1945,M,30d,8,17
56,2001,1945,F,30d,0,9
57,2001,1944,M,30d,7,19
57,2001,1944,F,30d,2,20
58,2001,1943,M,30d,5,19
58,2001,1943,F,30d,3,19
59,2001,1942,M,30d,5,16
59,2001,1942,F,30d,7,29
60,2001,1941,M,30d,6,20
60,2001,1941,F,30d,3,25
61,2001,1940,M,30d,4,16
61,2001,1940,F,30d,10,39
62,2001,1939,M,30d,2,11
62,2001,1939,F,30d,2,30
63,2001,1938,M,30d,5,21
63,2001,1938,F,30d,2,27
64,2001,1937,M,30d,5,16
64,2001,1937,F,30d,4,40
15,2006,1991,M,30d,64,414
15,2006,1991,F,30d,66,440
16,2006,1990,M,30d,76,387
16,2006,1990,F,30d,100,497
17,2006,1989,M,30d,64,247
17,2006,1989,F,30d,58,309
18,2006,1988,M,30d,130,347
18,2006,1988,F,30d,84,316
19,2006,1987,M,30d,72,216
19,2006,1987,F,30d,77,242
20,2006,1986,M,30d,75,217
20,2006,1986,F,30d,81,266
21,2006,1985,M,30d,58,172
21,2006,1985,F,30d,88,231
22,2006,1984,M,30d,62,167
22,2006,1984,F,30d,86,234
23,2006,1983,M,30d,75,162
23,2006,1983,F,30d,83,242
24,2006,1982,M,30d,52,131
24,2006,1982,F,30d,76,192
25,2006,1981,M,30d,70,175
