period,sex,value,measure,sex_label,measure_label
2001,F,28.261816914093142,Current smoking prevalence,Female,Current smoking prevalence
2001,M,41.995452645082956,Current smoking prevalence,Male,Current smoking prevalence
2006,F,27.60235887752071,Current smoking prevalence,Female,Current smoking prevalence
2006,M,38.26117405500413,Current smoking prevalence,Male,Current smoking prevalence
2007,F,27.006849404884193,Current smoking prevalence,Female,Current smoking prevalence
2007,M,44.08688285567741,Current smoking prevalence,Male,Current smoking prevalence
2008,F,35.2141618111462,Current smoking prevalence,Female,Current smoking prevalence
2008,M,45.401650190706,Current smoking prevalence,Male,Current smoking prevalence
2009,F,24.940657122724836,Current smoking prevalence,Female,Current smoking prevalence
2009,M,35.18292872796287,Current smoking prevalence,Male,Current smoking prevalence
2011,F,27.21626394953184,Current smoking prevalence,Female,Current smoking prevalence
2011,M,35.16285929575474,Current smoking prevalence,Male,Current smoking prevalence
2013,F,27.65482912567167,Current smoking prevalence,Female,Current smoking prevalence
2013,M,35.100529160039976,Current smoking prevalence,Male,Current smoking prevalence
2014,F,25.50771822436663,Current smoking prevalence,Female,Current smoking prevalence
2014,M,33.54532782665585,Current smoking prevalence,Male,Current smoking prevalence
2016,F,16.640038873759746,Current smoking prevalence,Female,Current smoking prevalence
2016,M,5.255336034177974,Current smoking prevalence,Male,Current smoking prevalence
2017,F,23.14621902216306,Current smoking prevalence,Female,Current smoking prevalence
2017,M,30.069986555095525,Current smoking prevalence,Male,Current smoking prevalence
2018,F,24.10102066705202,Current smoking prevalence,Female,Current smoking prevalence
2018,M,30.668465808903772,Current smoking prevalence,Male,Current smoking prevalence
2019,F,21.229551595207553,Current smoking prevalence,Female,Current smoking prevalence
2019,M,28.197350952055768,Current smoking prevalence,Male,Current smoking prevalence
2021,F,19.562425801094857,Current smoking prevalence,Female,Current smoking prevalence
2021,M,26.19290486487759,Current smoking prevalence,Male,Current smoking prevalence
2022,F,18.783680433316743,Current smoking prevalence,Female,Current smoking prevalence
2022,M,25.34217871388665,Current smoking prevalence,Male,Current smoking prevalence
1998,M,161.4961640413802,Lung-cancer incidence rate,Male,Lung-cancer incidence rate
1998,F,19.308064885503395,Lung-cancer incidence rate,Female,Lung-cancer incidence rate
1999,M,158.0473817824704,Lung-cancer incidence rate,Male,Lung-cancer incidence rate
1999,F,19.760633916728633,Lung-cancer incidence rate,Female,Lung-cancer incidence rate
2000,M,155.10962287456883,Lung-cancer incidence rate,Male,Lung-cancer incidence rate
2000,F,20.732911383586973,Lung-cancer incidence rate,Female,Lung-cancer incidence rate
2001,M,152.75907486155705,Lung-cancer incidence rate,Male,Lung-cancer incidence rate
2001,F,21.944379138008863,Lung-cancer incidence rate,Female,Lung-cancer incidence rate
2002,M,151.40610760652493,Lung-cancer incidence rate,Male,Lung-cancer incidence rate
2002,F,24.088815032354066,Lung-cancer incidence rate,Female,Lung-cancer incidence rate
2003,M,150.05504435076605,Lung-cancer incidence rate,Male,Lung-cancer incidence rate
2003,F,25.607599511691845,Lung-cancer incidence rate,Female,Lung-cancer incidence rate
2004,M,148.57657121443324,Lung-cancer incidence rate,Male,Lung-cancer incidence rate
2004,F,27.074823502055526,Lung-cancer incidence rate,Female,Lung-cancer incidence rate
2005,M,147.01222583356838,Lung-cancer incidence rate,Male,Lung-cancer incidence rate
2005,F,28.462209468480893,Lung-cancer incidence rate,Female,Lung-cancer incidence rate
2006,M,145.71476891838577,Lung-cancer incidence rate,Male,Lung-cancer incidence rate
2006,F,29.657600862620573,Lung-cancer incidence rate,Female,Lung-cancer incidence rate
2007,M,144.14451123985583,Lung-cancer incidence rate,Male,Lung-cancer incidence rate
2007,F,30.174890154526313,Lung-cancer incidence rate,Female,Lung-cancer incidence rate
2008,M,142.3180191067559,Lung-cancer incidence rate,Male,Lung-cancer incidence rate
