variant,input_block,variant_label,scenario,scenario_label,sex,sex_label,period,projection_zone,mean,lwr,upr
baseline,Baseline,Baseline,freeze,Frozen at 2022,M,Male,2023,credible,872.1640854861703,796.694186050044,952.446347132113
baseline,Baseline,Baseline,freeze,Frozen at 2022,M,Male,2024,credible,870.5481494732271,792.7582066589848,953.7080831799752
baseline,Baseline,Baseline,freeze,Frozen at 2022,M,Male,2025,credible,862.2704762913827,782.6438635085223,947.774888386032
baseline,Baseline,Baseline,freeze,Frozen at 2022,M,Male,2026,credible,853.055325192269,771.4116994908163,941.1231598433367
baseline,Baseline,Baseline,freeze,Frozen at 2022,M,Male,2027,credible,843.6298748205638,759.7429214040773,934.5207493091428
baseline,Baseline,Baseline,freeze,Frozen at 2022,M,Male,2028,credible,835.0748129141728,748.5845141784691,929.2033522257194
baseline,Baseline,Baseline,freeze,Frozen at 2022,M,Male,2029,credible,826.8927935154712,737.5241058728683,924.5824450022758
baseline,Baseline,Baseline,freeze,Frozen at 2022,M,Male,2030,credible,818.7302356476899,726.3152896934221,920.1831920310673
baseline,Baseline,Baseline,freeze,Frozen at 2022,M,Male,2031,caution,811.0170613564001,715.3741448633031,916.4599765948382
baseline,Baseline,Baseline,freeze,Frozen at 2022,M,Male,2032,caution,804.2637172831262,705.1527666770103,914.0078135655414
baseline,Baseline,Baseline,freeze,Frozen at 2022,M,Male,2033,caution,798.3403898375909,695.5837986513442,912.6345158422512
baseline,Baseline,Baseline,freeze,Frozen at 2022,M,Male,2034,caution,792.5919725290591,686.1537818451142,911.5289291443117
baseline,Baseline,Baseline,freeze,Frozen at 2022,M,Male,2035,caution,787.0352723230613,676.9139577507466,910.6695932423572
baseline,Baseline,Baseline,freeze,Frozen at 2022,M,Male,2036,caution,782.295303387641,668.4109008493955,910.7776368127873
baseline,Baseline,Baseline,freeze,Frozen at 2022,M,Male,2037,caution,778.5773976902314,660.8237097839143,912.0917175885126
baseline,Baseline,Baseline,freeze,Frozen at 2022,M,Male,2038,caution,775.5657468602108,653.9085815377334,914.2037476792046
