sex,period,mean_support_frac,projection_zone,sex_label
M,2023,0.6510417122379476,credible,Male
M,2024,0.62848871193434,credible,Male
M,2025,0.6060976843814562,credible,Male
M,2026,0.5842665205425698,credible,Male
M,2027,0.5631154380372249,credible,Male
M,2028,0.5422037978440314,credible,Male
M,2029,0.5213852156339489,credible,Male
M,2030,0.5008596559560861,credible,Male
M,2031,0.48081495607036245,caution,Male
M,2032,0.4614640429048173,caution,Male
M,2033,0.4428082014732297,caution,Male
M,2034,0.4247376148408122,caution,Male
M,2035,0.4071049587868882,caution,Male
M,2036,0.38993813135985944,caution,Male
M,2037,0.37317741240193386,caution,Male
M,2038,0.35670479247667525,caution,Male
M,2039,0.3405090763423309,caution,Male
M,2040,0.3247255178743481,risky,Male
M,2041,0.30938928191270737,risky,Male
M,2042,0.29438756046887077,risky,Male
M,2043,0.2796878263450799,risky,Male
M,2044,0.2652400594346541,risky,Male
M,2045,0.2510787978966982,risky,Male
M,2046,0.2372935177343132,risky,Male
M,2047,0.22387183275576975,risky,Male
M,2048,0.21077970901873655,risky,Male
M,2049,0.19809834605095464,beyond_max,Male
M,2050,0.1858038263474518,beyond_max,Male
M,2051,0.1739357288273901,beyond_max,Male
M,2052,0.16260433931629265,beyond_max,Male
M,2053,0.15184707308469367,beyond_max,Male
M,2054,0.1418483057305004,beyond_max,Male
M,2055,0.13256779112875702,beyond_max,Male
M,2056,0.12393507007772261,beyond_max,Male
M,2057,0.11584868243291942,beyond_max,Male
M,2058,0.10821273254469006,beyond_max,Male
M,2059,0.10091759823307403,beyond_max,Male
M,2060,0.0940181758610924,beyond_max,Male
M,2061,0.08754476893865705,beyond_max,Male
M,2062,0.08147450654274742,beyond_max,Male
M,2063,0.07581327512627399,beyond_max,Male
M,2064,0.0704934541278448,beyond_max,Male
M,2065,0.0655162960516149,beyond_max,Male
M,2066,0.060922269962240524,beyond_max,Male
M,2067,0.056798125650952755,beyond_max,Male
M,2068,0.05317440869561803,beyond_max,Male
M,2069,0.05002950112340983,beyond_max,Male
M,2070,0.047397336460844534,beyond_max,Male
F,2023,0.6807096931856748,credible,Female
F,2024,0.6594621603214013,credible,Female
F,2025,0.6385166140287494,credible,Female
F,2026,0.6179742774546528,credible,Female
F,2027,0.5979122566147594,credible,Female
F,2028,0.5780303167673525,credible,Female
F,2029,0.5581422829498383,credible,Female
F,2030,0.5384599561632265,credible,Female
F,2031,0.5190806789481309,credible,Female
F,2032,0.5003141398997061,credible,Female
F,2033,0.4823279885147787,caution,Female
F,2034,0.4648606847473357,caution,Female
F,2035,0.44767659394780435,caution,Female
F,2036,0.43089249967662413,caution,Female
F,2037,0.41444794039145566,caution,Female
F,2038,0.39814274456223164,caution,Female
F,2039,0.38201966324899095,caution,Female
F,2040,0.36626502329436395,caution,Female
F,2041,0.3508501017953119,caution,Female
F,2042,0.33560225870796306,caution,Female
F,2043,0.3205440506607218,risky,Female
F,2044,0.30560675348519756,risky,Female
F,2045,0.29070558488743137,risky,Female
F,2046,0.2759587365046285,risky,Female
F,2047,0.26145867702949543,risky,Female
F,2048,0.2471690454098834,risky,Female
F,2049,0.2331153384620359,risky,Female
F,2050,0.21934144724632904,risky,Female
F,2051,0.205882182627178,risky,Female
F,2052,0.19281753244345998,beyond_max,Female
F,2053,0.18022895201139014,beyond_max,Female
F,2054,0.16842239587937258,beyond_max,Female
F,2055,0.15738505045937515,beyond_max,Female
F,2056,0.14709348606909106,beyond_max,Female
F,2057,0.13742984713528164,beyond_max,Female
F,2058,0.12829239823659885,beyond_max,Female
F,2059,0.11944567065476523,beyond_max,Female
F,2060,0.11093575087360141,beyond_max,Female
F,2061,0.10291424647784654,beyond_max,Female
F,2062,0.09533177807426384,beyond_max,Female
F,2063,0.08819232972652025,beyond_max,Female
F,2064,0.08143894409481221,beyond_max,Female
F,2065,0.0750226889518406,beyond_max,Female
F,2066,0.0689976328523684,beyond_max,Female
F,2067,0.06347386053511082,beyond_max,Female
F,2068,0.05855016196484121,beyond_max,Female
F,2069,0.054238212877202006,beyond_max,Female
F,2070,0.050565475722890676,beyond_max,Female
