scenario,scenario_label,period,mean,freeze_mean,effect,horizon,projection_zone,metric,sex,series
up1pc,Up 1% p.a.,2023,1295.3419106352949,1294.8148051914652,0.5271054438296687,Credible,credible,mortality_effect,T,SBAPC
up1pc,Up 1% p.a.,2024,1309.0742365851509,1307.0161065114742,2.0581300736766934,Credible,credible,mortality_effect,T,SBAPC
up1pc,Up 1% p.a.,2025,1311.3290214736853,1307.0322858400716,4.296735633613707,Credible,credible,mortality_effect,T,SBAPC
up1pc,Up 1% p.a.,2026,1311.7607898569936,1304.684687570369,7.0761022866245185,Credible,credible,mortality_effect,T,SBAPC
up1pc,Up 1% p.a.,2027,1311.8921211921306,1301.5321226904828,10.359998501647851,Credible,credible,mortality_effect,T,SBAPC
up1pc,Up 1% p.a.,2028,1313.7451131380867,1299.591360628715,14.15375250937177,Credible,credible,mortality_effect,T,SBAPC
up1pc,Up 1% p.a.,2029,1316.362541742174,1297.9499928912953,18.412548850878693,Credible,credible,mortality_effect,T,SBAPC
up1pc,Up 1% p.a.,2030,1319.2814734327526,1296.1953432577207,23.08613017503194,Credible,credible,mortality_effect,T,SBAPC
up1pc,Up 1% p.a.,2031,1323.1215416641587,1294.9462461818039,28.17529548235484,Caution,caution,mortality_effect,T,SBAPC
up1pc,Up 1% p.a.,2032,1328.2384778353567,1294.576765862106,33.6617119732507,Caution,caution,mortality_effect,T,SBAPC
up1pc,Up 1% p.a.,2033,1334.1897583840962,1294.6595691137893,39.53018927030689,Caution,caution,mortality_effect,T,SBAPC
up1pc,Up 1% p.a.,2034,1339.8479815328835,1294.0936884452292,45.75429308765433,Caution,caution,mortality_effect,T,SBAPC
up1pc,Up 1% p.a.,2035,1345.1297337381643,1292.862096436151,52.26763730201333,Caution,caution,mortality_effect,T,SBAPC
up1pc,Up 1% p.a.,2036,1351.3502763282759,1292.2421308139199,59.10814551435601,Caution,caution,mortality_effect,T,SBAPC
up1pc,Up 1% p.a.,2037,1358.8521482874098,1292.5093367362706,66.34281155113922,Caution,caution,mortality_effect,T,SBAPC
up1pc,Up 1% p.a.,2038,1367.4634484647572,1293.5110586477945,73.95238981696275,Caution,caution,mortality_effect,T,SBAPC
up1pc,Up 1% p.a.,2039,1377.7489757268472,1295.7854251469203,81.96355057992696,Caution,caution,mortality_effect,T,SBAPC
up1pc,Up 1% p.a.,2040,1390.1207159047499,1299.7198344831013,90.40088142164859,Risky,risky,mortality_effect,T,SBAPC
up1pc,Up 1% p.a.,2041,1404.4478526412101,1305.2250703147288,99.22278232648137,Risky,risky,mortality_effect,T,SBAPC
up1pc,Up 1% p.a.,2042,1420.3358203034531,1311.9001232151188,108.43569708833434,Risky,risky,mortality_effect,T,SBAPC
