source,scenario,scenario_label,sex,sex_label,metric,series,period,deaths,lwr,upr,projection_zone
Observed,NA,NA,M,Male,mortality,Observed,1998,1030.169275211315,NA,NA,historical
Observed,NA,NA,M,Male,mortality,Observed,1999,979.0024978379087,NA,NA,historical
Observed,NA,NA,M,Male,mortality,Observed,2000,1001.4707618175654,NA,NA,historical
Observed,NA,NA,M,Male,mortality,Observed,2001,1026.1700169256776,NA,NA,historical
Observed,NA,NA,M,Male,mortality,Observed,2002,1018.0355609326995,NA,NA,historical
Observed,NA,NA,M,Male,mortality,Observed,2003,1007.6646618873241,NA,NA,historical
Observed,NA,NA,M,Male,mortality,Observed,2004,922.1719108638414,NA,NA,historical
Observed,NA,NA,M,Male,mortality,Observed,2005,982.0076681037764,NA,NA,historical
Observed,NA,NA,M,Male,mortality,Observed,2006,974.1039876146814,NA,NA,historical
Observed,NA,NA,M,Male,mortality,Observed,2007,963.0576843945113,NA,NA,historical
Observed,NA,NA,M,Male,mortality,Observed,2008,970.8161062234826,NA,NA,historical
Observed,NA,NA,M,Male,mortality,Observed,2009,1005.3330549918593,NA,NA,historical
Observed,NA,NA,M,Male,mortality,Observed,2010,987.1821052686853,NA,NA,historical
Observed,NA,NA,M,Male,mortality,Observed,2011,951.9734808094584,NA,NA,historical
Observed,NA,NA,M,Male,mortality,Observed,2012,916.6940899975284,NA,NA,historical
Observed,NA,NA,M,Male,mortality,Observed,2013,945.6654802302935,NA,NA,historical
Observed,NA,NA,M,Male,mortality,Observed,2014,999.5483307620694,NA,NA,historical
Observed,NA,NA,M,Male,mortality,Observed,2015,961.0413655737705,NA,NA,historical
Observed,NA,NA,M,Male,mortality,Observed,2016,942.5469348571947,NA,NA,historical
Observed,NA,NA,M,Male,mortality,Observed,2017,941.0188610447082,NA,NA,historical
Observed,NA,NA,M,Male,mortality,Observed,2018,966.102884589516,NA,NA,historical
Observed,NA,NA,M,Male,mortality,Observed,2019,984.5766466693726,NA,NA,historical
Observed,NA,NA,M,Male,mortality,Observed,2020,896.3883038989992,NA,NA,historical
Observed,NA,NA,M,Male,mortality,Observed,2021,844.6173712889961,NA,NA,historical
Observed,NA,NA,M,Male,mortality,Observed,2022,865.1182384057373,NA,NA,historical
Observed,NA,NA,F,Female,mortality,Observed,1998,156.00763139237534,NA,NA,historical
Observed,NA,NA,F,Female,mortality,Observed,1999,141.81107823804294,NA,NA,historical
Observed,NA,NA,F,Female,mortality,Observed,2000,160.80220878678006,NA,NA,historical
Observed,NA,NA,F,Female,mortality,Observed,2001,161.18594333287552,NA,NA,historical
Observed,NA,NA,F,Female,mortality,Observed,2002,167.07917165023477,NA,NA,historical
Observed,NA,NA,F,Female,mortality,Observed,2003,194.28846936638598,NA,NA,historical
Observed,NA,NA,F,Female,mortality,Observed,2004,195.5593864773125,NA,NA,historical
Observed,NA,NA,F,Female,mortality,Observed,2005,187.15857721580437,NA,NA,historical
Observed,NA,NA,F,Female,mortality,Observed,2006,181.8941942000493,NA,NA,historical
Observed,NA,NA,F,Female,mortality,Observed,2007,216.56372497405175,NA,NA,historical
Observed,NA,NA,F,Female,mortality,Observed,2008,263.20210970537886,NA,NA,historical
Observed,NA,NA,F,Female,mortality,Observed,2009,224.89010375157352,NA,NA,historical
Observed,NA,NA,F,Female,mortality,Observed,2010,252.574024285683,NA,NA,historical
Observed,NA,NA,F,Female,mortality,Observed,2011,258.101622732492,NA,NA,historical
Observed,NA,NA,F,Female,mortality,Observed,2012,263.6382413533734,NA,NA,historical
Observed,NA,NA,F,Female,mortality,Observed,2013,292.8110800745194,NA,NA,historical
Observed,NA,NA,F,Female,mortality,Observed,2014,324.41223666976407,NA,NA,historical
Observed,NA,NA,F,Female,mortality,Observed,2015,350.9546048526938,NA,NA,historical
Observed,NA,NA,F,Female,mortality,Observed,2016,367.99181117696855,NA,NA,historical
Observed,NA,NA,F,Female,mortality,Observed,2017,322.7246348628091,NA,NA,historical
Observed,NA,NA,F,Female,mortality,Observed,2018,370.5102065279376,NA,NA,historical
Observed,NA,NA,F,Female,mortality,Observed,2019,417.11735441584267,NA,NA,historical
Observed,NA,NA,F,Female,mortality,Observed,2020,424.79499232435825,NA,NA,historical
Observed,NA,NA,F,Female,mortality,Observed,2021,401.8325356146901,NA,NA,historical
Observed,NA,NA,F,Female,mortality,Observed,2022,395.7800057384242,NA,NA,historical
Projected,up1pc,Up 1% p.a.,M,Male,mortality,SBAPC,2022,876.7743098558224,802.0083947015607,954.1212306715307,historical
Projected,up1pc,Up 1% p.a.,M,Male,mortality,SBAPC,2023,872.5620343638317,797.0558155227753,952.8833076756779,credible
Projected,up1pc,Up 1% p.a.,M,Male,mortality,SBAPC,2024,872.0728827184461,794.1385278741651,955.3890551106919,credible
Projected,up1pc,Up 1% p.a.,M,Male,mortality,SBAPC,2025,865.4048915897932,785.4725920497061,951.2413413870805,credible
Projected,up1pc,Up 1% p.a.,M,Male,mortality,SBAPC,2026,858.1579490884588,775.9998959137811,946.786926638648,credible
Projected,up1pc,Up 1% p.a.,M,Male,mortality,SBAPC,2027,851.0287910230012,766.3687739945885,942.7665308206515,credible
Projected,up1pc,Up 1% p.a.,M,Male,mortality,SBAPC,2028,845.0852040719194,757.5098469908203,940.4070770511734,credible
Projected,up1pc,Up 1% p.a.,M,Male,mortality,SBAPC,2029,839.8070097536837,748.9842446848842,939.1019915095128,credible
Projected,up1pc,Up 1% p.a.,M,Male,mortality,SBAPC,2030,834.7998752414578,740.5033742658593,938.3380932590344,credible
Projected,up1pc,Up 1% p.a.,M,Male,mortality,SBAPC,2031,830.48597394945,732.47019616987,938.5690482769063,caution
Projected,up1pc,Up 1% p.a.,M,Male,mortality,SBAPC,2032,827.3835481510831,725.3364750385867,940.4083152005177,caution
Projected,up1pc,Up 1% p.a.,M,Male,mortality,SBAPC,2033,825.3504198209328,719.0201098515136,943.6550720577845,caution
