cause_id,label,site_label,period,deaths,scenario,scenario_label,source,common_endogenous_year
lung,Lung,Lung,1998,1186.1769066036902,freeze,Frozen at 2022,Observed,2048
lung,Lung,Lung,1999,1120.8135760759517,freeze,Frozen at 2022,Observed,2048
lung,Lung,Lung,2000,1162.2729706043456,freeze,Frozen at 2022,Observed,2048
lung,Lung,Lung,2001,1187.355960258553,freeze,Frozen at 2022,Observed,2048
lung,Lung,Lung,2002,1185.1147325829343,freeze,Frozen at 2022,Observed,2048
lung,Lung,Lung,2003,1201.9531312537101,freeze,Frozen at 2022,Observed,2048
lung,Lung,Lung,2004,1117.731297341154,freeze,Frozen at 2022,Observed,2048
lung,Lung,Lung,2005,1169.1662453195809,freeze,Frozen at 2022,Observed,2048
lung,Lung,Lung,2006,1155.9981818147307,freeze,Frozen at 2022,Observed,2048
lung,Lung,Lung,2007,1179.621409368563,freeze,Frozen at 2022,Observed,2048
lung,Lung,Lung,2008,1234.0182159288615,freeze,Frozen at 2022,Observed,2048
lung,Lung,Lung,2009,1230.2231587434328,freeze,Frozen at 2022,Observed,2048
lung,Lung,Lung,2010,1239.7561295543683,freeze,Frozen at 2022,Observed,2048
lung,Lung,Lung,2011,1210.0751035419503,freeze,Frozen at 2022,Observed,2048
lung,Lung,Lung,2012,1180.3323313509018,freeze,Frozen at 2022,Observed,2048
lung,Lung,Lung,2013,1238.476560304813,freeze,Frozen at 2022,Observed,2048
lung,Lung,Lung,2014,1323.9605674318336,freeze,Frozen at 2022,Observed,2048
lung,Lung,Lung,2015,1311.9959704264643,freeze,Frozen at 2022,Observed,2048
lung,Lung,Lung,2016,1310.5387460341633,freeze,Frozen at 2022,Observed,2048
lung,Lung,Lung,2017,1263.7434959075172,freeze,Frozen at 2022,Observed,2048
lung,Lung,Lung,2018,1336.6130911174537,freeze,Frozen at 2022,Observed,2048
lung,Lung,Lung,2019,1401.6940010852154,freeze,Frozen at 2022,Observed,2048
lung,Lung,Lung,2020,1321.1832962233575,freeze,Frozen at 2022,Observed,2048
lung,Lung,Lung,2021,1246.449906903686,freeze,Frozen at 2022,Observed,2048
lung,Lung,Lung,2022,1260.8982441441615,freeze,Frozen at 2022,Observed,2048
lung,Lung,Lung,2023,1294.8147628015674,freeze,Frozen at 2022,Projected,2048
lung,Lung,Lung,2024,1307.0160691481324,freeze,Frozen at 2022,Projected,2048
lung,Lung,Lung,2025,1307.032256840629,freeze,Frozen at 2022,Projected,2048
lung,Lung,Lung,2026,1304.6846674430574,freeze,Frozen at 2022,Projected,2048
lung,Lung,Lung,2027,1301.532111553894,freeze,Frozen at 2022,Projected,2048
lung,Lung,Lung,2028,1299.5913581191062,freeze,Frozen at 2022,Projected,2048
lung,Lung,Lung,2029,1297.949999218208,freeze,Frozen at 2022,Projected,2048
lung,Lung,Lung,2030,1296.1953581688526,freeze,Frozen at 2022,Projected,2048
lung,Lung,Lung,2031,1294.9462690708624,freeze,Frozen at 2022,Projected,2048
lung,Lung,Lung,2032,1294.576796099158,freeze,Frozen at 2022,Projected,2048
lung,Lung,Lung,2033,1294.6596063836892,freeze,Frozen at 2022,Projected,2048
lung,Lung,Lung,2034,1294.0937328814018,freeze,Frozen at 2022,Projected,2048
lung,Lung,Lung,2035,1292.8621480850077,freeze,Frozen at 2022,Projected,2048
lung,Lung,Lung,2036,1292.2421895528475,freeze,Frozen at 2022,Projected,2048
lung,Lung,Lung,2037,1292.5094025593248,freeze,Frozen at 2022,Projected,2048
lung,Lung,Lung,2038,1293.5111317161955,freeze,Frozen at 2022,Projected,2048
lung,Lung,Lung,2039,1295.785505412264,freeze,Frozen at 2022,Projected,2048
lung,Lung,Lung,2040,1299.7199218464607,freeze,Frozen at 2022,Projected,2048
lung,Lung,Lung,2041,1305.225164442761,freeze,Frozen at 2022,Projected,2048
lung,Lung,Lung,2042,1311.9002236987596,freeze,Frozen at 2022,Projected,2048
lung,Lung,Lung,2043,1319.4315905210487,freeze,Frozen at 2022,Projected,2048
lung,Lung,Lung,2044,1327.253101015097,freeze,Frozen at 2022,Projected,2048
lung,Lung,Lung,2045,1334.0892314266562,freeze,Frozen at 2022,Projected,2048
lung,Lung,Lung,2046,1339.8653785200675,freeze,Frozen at 2022,Projected,2048
lung,Lung,Lung,2047,1345.4374582804166,freeze,Frozen at 2022,Projected,2048
lung,Lung,Lung,2048,1351.0806945792474,freeze,Frozen at 2022,Projected,2048
stomach,Stomach,Stomach,1998,452.0541615587075,freeze,Frozen at 2022,Observed,2048
stomach,Stomach,Stomach,1999,441.0877724132819,freeze,Frozen at 2022,Observed,2048
stomach,Stomach,Stomach,2000,421.5497971505747,freeze,Frozen at 2022,Observed,2048
stomach,Stomach,Stomach,2001,461.22080401957646,freeze,Frozen at 2022,Observed,2048
stomach,Stomach,Stomach,2002,427.51860886323607,freeze,Frozen at 2022,Observed,2048
stomach,Stomach,Stomach,2003,392.46122664669883,freeze,Frozen at 2022,Observed,2048
stomach,Stomach,Stomach,2004,400.1713786576511,freeze,Frozen at 2022,Observed,2048
stomach,Stomach,Stomach,2005,378.1666631964497,freeze,Frozen at 2022,Observed,2048
stomach,Stomach,Stomach,2006,384.63064057476186,freeze,Frozen at 2022,Observed,2048
stomach,Stomach,Stomach,2007,446.78030662554136,freeze,Frozen at 2022,Observed,2048
stomach,Stomach,Stomach,2008,351.5033188611839,freeze,Frozen at 2022,Observed,2048
stomach,Stomach,Stomach,2009,378.0869075671628,freeze,Frozen at 2022,Observed,2048
stomach,Stomach,Stomach,2010,394.84671967936526,freeze,Frozen at 2022,Observed,2048
stomach,Stomach,Stomach,2011,405.689490663214,freeze,Frozen at 2022,Observed,2048
stomach,Stomach,Stomach,2012,416.68907540174115,freeze,Frozen at 2022,Observed,2048
stomach,Stomach,Stomach,2013,419.70581220343206,freeze,Frozen at 2022,Observed,2048
stomach,Stomach,Stomach,2014,398.8372553238616,freeze,Frozen at 2022,Observed,2048
stomach,Stomach,Stomach,2015,388.62373120487956,freeze,Frozen at 2022,Observed,2048
stomach,Stomach,Stomach,2016,389.4365442531363,freeze,Frozen at 2022,Observed,2048
stomach,Stomach,Stomach,2017,338.12930674058384,freeze,Frozen at 2022,Observed,2048
stomach,Stomach,Stomach,2018,379.17710910246933,freeze,Frozen at 2022,Observed,2048
stomach,Stomach,Stomach,2019,360.42616519481936,freeze,Frozen at 2022,Observed,2048
stomach,Stomach,Stomach,2020,314.6787855462129,freeze,Frozen at 2022,Observed,2048
stomach,Stomach,Stomach,2021,371.4207776854023,freeze,Frozen at 2022,Observed,2048
stomach,Stomach,Stomach,2022,332.72945052088966,freeze,Frozen at 2022,Observed,2048
stomach,Stomach,Stomach,2023,337.46757403659296,freeze,Frozen at 2022,Projected,2048
stomach,Stomach,Stomach,2024,347.0158533436894,freeze,Frozen at 2022,Projected,2048
stomach,Stomach,Stomach,2025,352.5820301212068,freeze,Frozen at 2022,Projected,2048
stomach,Stomach,Stomach,2026,357.4200254827948,freeze,Frozen at 2022,Projected,2048
stomach,Stomach,Stomach,2027,362.1639304743496,freeze,Frozen at 2022,Projected,2048
stomach,Stomach,Stomach,2028,367.6489759165105,freeze,Frozen at 2022,Projected,2048
stomach,Stomach,Stomach,2029,372.93332474874,freeze,Frozen at 2022,Projected,2048
stomach,Stomach,Stomach,2030,378.1542898878096,freeze,Frozen at 2022,Projected,2048
stomach,Stomach,Stomach,2031,383.9175562430629,freeze,Frozen at 2022,Projected,2048
stomach,Stomach,Stomach,2032,390.23652505273526,freeze,Frozen at 2022,Projected,2048
stomach,Stomach,Stomach,2033,396.98587660869055,freeze,Frozen at 2022,Projected,2048
stomach,Stomach,Stomach,2034,403.7122459364356,freeze,Frozen at 2022,Projected,2048
stomach,Stomach,Stomach,2035,410.21783032644936,freeze,Frozen at 2022,Projected,2048
stomach,Stomach,Stomach,2036,416.86764811858563,freeze,Frozen at 2022,Projected,2048
stomach,Stomach,Stomach,2037,423.77712832631937,freeze,Frozen at 2022,Projected,2048
stomach,Stomach,Stomach,2038,430.9951423072951,freeze,Frozen at 2022,Projected,2048
stomach,Stomach,Stomach,2039,438.3764234904752,freeze,Frozen at 2022,Projected,2048
stomach,Stomach,Stomach,2040,445.8786537449398,freeze,Frozen at 2022,Projected,2048
stomach,Stomach,Stomach,2041,453.4941442449075,freeze,Frozen at 2022,Projected,2048
stomach,Stomach,Stomach,2042,460.9140604112389,freeze,Frozen at 2022,Projected,2048
stomach,Stomach,Stomach,2043,468.3950575879354,freeze,Frozen at 2022,Projected,2048
stomach,Stomach,Stomach,2044,475.8786940229948,freeze,Frozen at 2022,Projected,2048
stomach,Stomach,Stomach,2045,482.8653595196495,freeze,Frozen at 2022,Projected,2048
stomach,Stomach,Stomach,2046,489.3945542831177,freeze,Frozen at 2022,Projected,2048
stomach,Stomach,Stomach,2047,495.834763417594,freeze,Frozen at 2022,Projected,2048
