sex,hist_bias,proj_bias,seed,dgp,scenario
M,0.33447707406462457,10.735569072295734,1,spec_linear,freeze
F,0.028199137554266313,5.27676870954859,1,spec_linear,freeze
M,0.33447707406462457,11.071629340981945,1,spec_linear,up1pc
F,0.028199137554266313,4.881904356135495,1,spec_linear,up1pc
M,0.33447707406462457,10.571600208391644,1,spec_linear,down1pc
F,0.028199137554266313,5.697782746692354,1,spec_linear,down1pc
M,0.33447707406462457,10.925654308948568,1,spec_linear,quit
F,0.028199137554266313,7.754724556032168,1,spec_linear,quit
M,-0.051413375052453594,-5.102353238981961,2,spec_linear,freeze
F,-0.21465212367956796,-8.355271259902468,2,spec_linear,freeze
M,-0.051413375052453594,-4.252934763720768,2,spec_linear,up1pc
F,-0.21465212367956796,-7.623986561773077,2,spec_linear,up1pc
M,-0.051413375052453594,-5.624093371083147,2,spec_linear,down1pc
F,-0.21465212367956796,-8.744262560928249,2,spec_linear,down1pc
M,-0.051413375052453594,-9.174474807707831,2,spec_linear,quit
F,-0.21465212367956796,-8.474587222557693,2,spec_linear,quit
M,-0.25741729788657475,-7.162949045796681,3,spec_linear,freeze
F,0.07996178252015418,-0.6533895816302812,3,spec_linear,freeze
M,-0.25741729788657475,-7.85100959845625,3,spec_linear,up1pc
F,0.07996178252015418,-1.069294031293971,3,spec_linear,up1pc
M,-0.25741729788657475,-6.61467829110131,3,spec_linear,down1pc
F,0.07996178252015418,-0.2469577625722035,3,spec_linear,down1pc
M,-0.25741729788657475,-6.751736039661388,3,spec_linear,quit
F,0.07996178252015418,1.0677440394465945,3,spec_linear,quit
M,0.06317465889152743,6.0127423222624925,4,spec_linear,freeze
F,0.2721791594764948,-1.0055776723916399,4,spec_linear,freeze
M,0.06317465889152743,7.264201183127245,4,spec_linear,up1pc
F,0.2721791594764948,-0.7670959573740086,4,spec_linear,up1pc
M,0.06317465889152743,5.3274061081819015,4,spec_linear,down1pc
F,0.2721791594764948,-1.0890580831939236,4,spec_linear,down1pc
M,0.06317465889152743,4.496439512478256,4,spec_linear,quit
F,0.2721791594764948,2.211748417478809,4,spec_linear,quit
M,0.0030751797246106804,-5.003292415662174,5,spec_linear,freeze
F,-0.9379042399449052,-6.025062286880322,5,spec_linear,freeze
M,0.0030751797246106804,-5.326397493307255,5,spec_linear,up1pc
F,-0.9379042399449052,-6.390309540262144,5,spec_linear,up1pc
M,0.0030751797246106804,-4.5950869507095895,5,spec_linear,down1pc
F,-0.9379042399449052,-5.503546556258753,5,spec_linear,down1pc
M,0.0030751797246106804,-1.6610389999886996,5,spec_linear,quit
F,-0.9379042399449052,-4.290187789444499,5,spec_linear,quit
M,0.02601135224885996,10.198874352073174,6,spec_linear,freeze
F,-0.1508546013119336,23.441507382033564,6,spec_linear,freeze
M,0.02601135224885996,11.069727995324246,6,spec_linear,up1pc
F,-0.1508546013119336,24.99029337731082,6,spec_linear,up1pc
M,0.02601135224885996,9.65432647103311,6,spec_linear,down1pc
F,-0.1508546013119336,22.39234152253019,6,spec_linear,down1pc
M,0.02601135224885996,11.112496098276038,6,spec_linear,quit
F,-0.1508546013119336,21.060619818382424,6,spec_linear,quit
M,-0.4772134524137611,-16.026442354963283,7,spec_linear,freeze
F,-0.12836654058139266,-6.076372175501171,7,spec_linear,freeze
M,-0.4772134524137611,-16.64833331079826,7,spec_linear,up1pc
F,-0.12836654058139266,-6.41761166768852,7,spec_linear,up1pc
M,-0.4772134524137611,-15.409108076294107,7,spec_linear,down1pc
F,-0.12836654058139266,-5.732557491519059,7,spec_linear,down1pc
M,-0.4772134524137611,-9.335858871757953,7,spec_linear,quit
F,-0.12836654058139266,-1.9632542702938722,7,spec_linear,quit
M,-0.19764542745071628,-16.830785513777556,8,spec_linear,freeze
F,-0.6958245042156426,-10.130354787906269,8,spec_linear,freeze
M,-0.19764542745071628,-18.392584791427378,8,spec_linear,up1pc
F,-0.6958245042156426,-11.422294347481172,8,spec_linear,up1pc
M,-0.19764542745071628,-15.364790245044752,8,spec_linear,down1pc
F,-0.6958245042156426,-8.971326287614387,8,spec_linear,down1pc
M,-0.19764542745071628,-9.121875267956733,8,spec_linear,quit
F,-0.6958245042156426,-3.56551436845952,8,spec_linear,quit
M,0.08461929082035131,7.932837426091031,9,spec_linear,freeze
F,-0.28848771005577895,11.361541510593549,9,spec_linear,freeze
M,0.08461929082035131,9.754319401191138,9,spec_linear,up1pc
F,-0.28848771005577895,12.82451819840689,9,spec_linear,up1pc
M,0.08461929082035131,6.467187301700199,9,spec_linear,down1pc
F,-0.28848771005577895,10.39059404209948,9,spec_linear,down1pc
M,0.08461929082035131,5.858521231551052,9,spec_linear,quit
F,-0.28848771005577895,7.196429427250708,9,spec_linear,quit
M,0.12878044616661102,0.32262891221131074,10,spec_linear,freeze
F,0.08922666447002929,-0.0016841372519291078,10,spec_linear,freeze
M,0.12878044616661102,1.3491601714988217,10,spec_linear,up1pc
F,0.08922666447002929,0.6620162681497935,10,spec_linear,up1pc
M,0.12878044616661102,-0.40368001409601467,10,spec_linear,down1pc
F,0.08922666447002929,-0.45046734593434506,10,spec_linear,down1pc
M,0.12878044616661102,-1.5447135606674165,10,spec_linear,quit
F,0.08922666447002929,-1.9626139852029907,10,spec_linear,quit
M,-0.28322102193531934,0.27599262971330246,11,spec_linear,freeze
F,-0.3359187812307345,2.1496218837785643,11,spec_linear,freeze
M,-0.28322102193531934,0.03348946828829765,11,spec_linear,up1pc
F,-0.3359187812307345,1.919386801293915,11,spec_linear,up1pc
M,-0.28322102193531934,0.5813621560112596,11,spec_linear,down1pc
F,-0.3359187812307345,2.3717157006840957,11,spec_linear,down1pc
M,-0.28322102193531934,1.85231790800389,11,spec_linear,quit
F,-0.3359187812307345,4.196309630070245,11,spec_linear,quit
M,0.5623826158003375,-11.145384276621424,12,spec_linear,freeze
F,-0.1523236901678637,-5.305869681166364,12,spec_linear,freeze
