model,scenario,scenario_label,sex,seeds,annual_mare_pct,signed_error_pct,cumulative_recovery_pct,cumulative_recovery_p10,cumulative_recovery_p90,sign_agreement_pct
SBAPC,up1pc,↑ 1% p.a.,M,200,11.674460736659137,-0.5039433427088137,99.07071107517717,99.07071107517717,99.07071107517717,100
SBAPC,up1pc,↑ 1% p.a.,F,200,11.94776142230147,0.33790574022850484,98.61593956041786,98.61593956041786,98.61593956041786,100
Incidence-anchored SBAPC,up1pc,↑ 1% p.a.,M,200,100,-100,0,0,0,0
Incidence-anchored SBAPC,up1pc,↑ 1% p.a.,F,200,100,-100,0,0,0,0
BAPC benchmark,up1pc,↑ 1% p.a.,M,200,100,-100,0,0,0,0
BAPC benchmark,up1pc,↑ 1% p.a.,F,200,100,-100,0,0,0,0
SBAPC,down1pc,↓ 1% p.a.,M,200,11.309553472474157,1.6013632048961886,97.43660621654774,97.43660621654774,97.43660621654774,100
SBAPC,down1pc,↓ 1% p.a.,F,200,11.747203916402572,0.8004323576324757,96.62082618091893,96.62082618091893,96.62082618091893,100
Incidence-anchored SBAPC,down1pc,↓ 1% p.a.,M,200,100,100,0,0,0,0
Incidence-anchored SBAPC,down1pc,↓ 1% p.a.,F,200,100,100,0,0,0,0
BAPC benchmark,down1pc,↓ 1% p.a.,M,200,100,100,0,0,0,0
BAPC benchmark,down1pc,↓ 1% p.a.,F,200,100,100,0,0,0,0
SBAPC,quit,Quit,M,200,10.141306907246658,2.937477687397702,97.00358989592726,97.00358989592726,97.00358989592726,100
SBAPC,quit,Quit,F,200,10.718143620213171,2.6133332717394806,95.77310996089238,95.77310996089238,95.77310996089238,100
Incidence-anchored SBAPC,quit,Quit,M,200,100,100,0,0,0,0
Incidence-anchored SBAPC,quit,Quit,F,200,100,100,0,0,0,0
BAPC benchmark,quit,Quit,M,200,100,100,0,0,0,0
BAPC benchmark,quit,Quit,F,200,100,100,0,0,0,0
