scenario,scenario_label,metric,metric_label,horizon,cumulative_effect,cumulative_freeze,pct_of_freeze
up1pc,Up 1% p.a.,incidence,Incidence,Credible,124.65895939593997,11923.593884977487,1.0454814261411365
up1pc,Up 1% p.a.,mortality,Mortality,Credible,79.97050347467484,10408.816704581594,0.7682958182890727
up1pc,Up 1% p.a.,incidence,Incidence,Caution,656.6495336016767,13709.452046090375,4.789757689760753
up1pc,Up 1% p.a.,mortality,Mortality,Caution,480.75602457796504,11645.186317383985,4.128366961894721
up1pc,Up 1% p.a.,incidence,Incidence,Risky,1565.785052947574,14426.938376304315,10.853204000089963
up1pc,Up 1% p.a.,mortality,Mortality,Risky,1163.693148070281,11934.001760100085,9.751072368373118
down1pc,Down 1% p.a.,incidence,Incidence,Credible,-88.367373434211,11923.593884977487,-0.7411135794011308
down1pc,Down 1% p.a.,mortality,Mortality,Credible,-53.69141640203634,10408.816704581594,-0.5158263222985113
down1pc,Down 1% p.a.,incidence,Incidence,Caution,-513.3287335693531,13709.452046090375,-3.74434172747074
down1pc,Down 1% p.a.,mortality,Mortality,Caution,-368.85543899055847,11645.186317383985,-3.1674498710246435
down1pc,Down 1% p.a.,incidence,Incidence,Risky,-1197.7737736612921,14426.938376304315,-8.302342066065721
down1pc,Down 1% p.a.,mortality,Mortality,Risky,-886.3379569531876,11934.001760100085,-7.4269970356176165
quit,Quit,incidence,Incidence,Credible,-2126.039798146103,11923.593884977487,-17.830528435094525
quit,Quit,mortality,Mortality,Credible,-1415.7493774630357,10408.816704581594,-13.601444022353403
quit,Quit,incidence,Incidence,Caution,-5733.598474792625,13709.452046090375,-41.82222933138832
quit,Quit,mortality,Mortality,Caution,-4470.98839712662,11645.186317383985,-38.39344665917718
quit,Quit,incidence,Incidence,Risky,-7984.870610971588,14426.938376304315,-55.34695167261841
quit,Quit,mortality,Mortality,Risky,-6266.645911437512,11934.001760100085,-52.51085124177957
