sex,sex_label,model_family,estimator,delta_WAIC,delta_DIC,dLCPO,BT_RMSE
M,Male,Incidence,BAPC benchmark,0,0,0,22.01872037393139
M,Male,Incidence,SBAPC incidence layer,-3.782965240052363,-7.92514586791367,1.8929226975976232,22.079758555204435
M,Male,Mortality,BAPC benchmark,0,0,0,18.428016022932493
M,Male,Mortality,SBAPC mortality layer,0.8015378828376925,-4.846569308297148,-0.3921123653952075,18.42761867733872
M,Male,Mortality,Incidence-anchored mortality layer,3.5773272165833987,-0.015938504084260785,-1.7836475867874333,18.415935061550545
F,Female,Incidence,BAPC benchmark,0,0,0,8.295798003127654
F,Female,Incidence,SBAPC incidence layer,-0.06822498562087276,-1.8260745994184617,0.03493316088429235,8.319611019476056
F,Female,Mortality,BAPC benchmark,0,0,0,6.8352095483755795
F,Female,Mortality,SBAPC mortality layer,-14.77787058402373,-18.727992528438335,7.393887206430852,6.599656551012923
F,Female,Mortality,Incidence-anchored mortality layer,-11.667842421449677,-12.407439180620713,5.836139718947736,6.577121702617369
